,producto,precio,cantidad,medida,cantidad_
291,Aceite de oliva virgen extra Carrefour spray 200 ml.,1.95,0.2,L,0.2
292,Pimientos de piquillo asados Carrefour 350 g.,1.39,0.35,kg,0.35
293,Cereales crujientes con chocolate Muesli Carrefour 750 g.,2.59,0.751,kg,0.751
294,Galletas con pepitas de chocolate Chips Ahoy 400 g.,3.49,0.4,kg,0.4
295,Cafe soluble natural Carrefour 200 g.,1.85,0.2,kg,0.2
296,Mayonesa Ybarra sin gluten y sin lactosa tarro 450 ml.,1.66,0.45,L,0.45
297,Aceite de girasol Coosol 1 l.,1.83,1.0,L,1.0
298,Leche desnatada con calcio Carrefour brik 1 l.,0.73,1.0,L,1.0
299,Yogur L.Casei liquido con fresa y platano Danone - Actimel Kids pack de 6 unidades de 100 g.,3.09,0.6,kg,0.6
300,Cereales de maiz Corn Flakes 500 g.,0.99,0.5,kg,0.5
301,Turron de Alicante Carrefour sin gluten 250 g.,2.0,0.25,kg,0.25
302,Galletas integrales de avena Digestive Carrefour 425 g.,1.09,0.426,kg,0.426
303,Galletas finas con chocolate negro Digestive Fontaneda 170 g.,1.69,0.17,kg,0.17
304,Alubia cocida categoria extra Luengo 400 g.,0.95,0.401,kg,0.401
305,Patatas fritas gourmet sabor original Lay's 180 g.,2.28,0.18,kg,0.18
306,Guacamole Carrefour 200 g,1.49,0.2,kg,0.2
307,Huevos M-L ecologicos Carrefour Bio 6 ud.,1.99,0.5,ud,0.5
308,Datil deshuesado Carrefour tarrina 300 g,2.99,0.3,kg,0.3
309,Garbanzo lechoso categoria extra Luengo 1 kg.,3.6,1.0,kg,1.0
310,Arroz basmati Sundari 1 Kg.,3.11,1.0,kg,1.0
311,Gelatina sabor fresa jellies Carrefour sin gluten pack de 6 unidades de 100 g.,0.69,0.6,kg,0.6
312,Patatas fritas sabor campesinas Lay's 160 g.,1.56,0.16,kg,0.16
313,Galletas de cacao rellenas de crema Black&Roll Carrefour 220 g.,0.65,0.22,kg,0.22
314,Margarina con sal Tulipan sin gluten sin aceite de palma 450 g.,1.99,0.45,kg,0.45
315,Empanada rectangular de atun 700 g,4.99,1.0,ud,1.0
316,Galletas de chocolate rellenas de crema Oreo 440 g.,3.19,0.44,kg,0.44
317,Galletas napolitana Cuetara 500 g.,2.0,0.5,kg,0.5
318,Copos de avena integral ecologicos Carrefour Bio 500 g.,1.28,0.5,kg,0.5
319,Ketchup Heinz envase 700 g.,2.89,0.7,kg,0.7
320,Yogur L.Casei liquido natural Danone Actimel pack de 14 unidades de 100 g.,5.99,1.4,kg,1.4
