,precio,precio/kg,producto,anadir,none,link,m,k,s
143,"
1,61 €","10,06 €/kg",Patatas fritas sabor vinagreta Lay's 160 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=432,,,,
144,"
3,24 €","10,80 €/kg",Pizza carbonara fina y crujiente forno di pietra Buitoni 300 g.,Congelado,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,
145,"
2,15 €","12,29 €/kg",Corazones de alcachofas mini 16/20 Carrefour sin lactosa 175 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,,
146,"
1,37 €","1,85 €/kg",Leche condensada Carrefour 740 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,,,
147,"
0,99 €","4,40 €/kg",Pimientos del Piquillo en tiras al ajillo Carrefour sin lactosa 225 g.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,,
148,"
2,41 €","12,05 €/kg",Pistachos tostados y salados Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,,,
149,"
0,60 €","1,50 €/kg",Alubia cocida sin sal añadida Carrefour 400 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,,,
150,"
2,09 €","1,90 €","17,42 €/kg
 | 
15,83 €/kg",Galletas rellena con crema de cacao Nocilla 120 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,
151,"
0,78 €","2,60 €/kg",Palomitas saladas para microondas Carrefour pack de 3 bolsas de 100 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=456,,,,
152,"
1,20 €","2,67 €/kg",Fideo nº0 Gallo 450 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,,
153,"
0,99 €","4,95 €/l",Nata para cocinar Central Lechera Asturiana 200 ml.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,,
154,"
0,99 €","1,24 €/kg",Azúcar blanco Azucarera 800 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,,
155,"
2,59 €","5,18 €/l",Nata para cocinar espesa Président pack de 2 unidades de 250 ml.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,,
156,"
2,40 €",12 €/kg,Café soluble descafeinado Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,,
157,"
0,99 €","8,25 €/kg",Risketos Risi sin gluten 120 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,
158,"
5,99 €","5,99 €/l",Aceite de oliva virgen extra Maestros de Hojiblanca 1 l.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,,
159,"
1,39 €","5,79 €/kg",Corazones de alcachofa 8/10 Carrefour 240 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=480,,,,
160,"
0,99 €","1,98 €/l",Crema de verduras de la huerta Carrefour sin gluten 500 ml.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,
161,"
0,99 €","1,98 €/l",Nata para montar líquida Carrefour 500 ml.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,,
162,"
0,77 €","3,85 €/kg",Caramelos de goma Carrefour Classic sin gluten 200 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,
163,"
1,71 €","6,58 €/kg",Sopa de pollo con Maravilla Gallina Blanca pack de 3 sobres de 86 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,,
164,"
2,65 €","13,25 €/kg",Almendras tostadas sin sal añadida Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,,
165,"
0,82 €","0,79 €","0,82 €/l
 | 
0,79 €/l",Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,
166,"
2,79 €","11,16 €/kg",Café molido natural crema e gusto Lavazza 250 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,,
167,"
2,99 €","2,99 €/ud",Tortilla de patata con cebolla 600 g,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=504,,,
168,"
0,99 €","1,98 €/l",Crema de calabacín con queso Carrefour sin gluten 500 ml.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,,
169,"
2,39 €","4,98 €/kg",Yogur bífidus desnatado con melocotón Danone Activia sin gluten pack de 4 unidades de 120 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,,
170,"
2,15 €","29,45 €/kg",Ventresca de atún claro en aceite de oliva Carrefour 73 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,,,
171,"
5,99 €","5,99 €/l",Aceite de oliva virgen extra arbequina Coosur 1 l.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,,,
172,"
2,05 €","1,87 €","4,10 €/l
 | 
3,74 €/l","Crema de Alicia de calabaza, zanahoria y guisantes Knorr 500 ml.",Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,
173,"
4,15 €","5,53 €/kg","Cereales de arroz, trigo y cebada integral Special K Kellogg's 750 g.",Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,,
174,"
1,25 €",5 €/kg,Café molido mezcla Carrefour 250 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,,,
175,"
1,39 €","3,86 €/kg",Petit Nestlé Nesquik sin gluten pack de 6 unidades de 60 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=528,,,
176,"
2,49 €","6,23 €/kg",Calamares a la Romana Pescanova 400 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,,,
177,"
2,05 €","8,20 €/kg",Patatas fritas sabor campesinas Lay's 250 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,,,
178,"
2,28 €","4,56 €/kg",Café molido natural Carrefour 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,,,
179,"
1,81 €","3,62 €/kg",Pasta mafalda corta Garofalo 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,,,
180,"
1,65 €","0,75 €/l","Leche desnatada Central Lechera Asturiana botella 2,2 l.","Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,,,
181,"
3,19 €","4,91 €/kg",Fresas Carrefour Classic 650 g.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,,
182,"
1,73 €","13,31 €/kg",Tomate concentrado Mutti 130 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,,,
183,"
1,99 €","9,95 €/kg",Crema de berenjenas asadas Mutabal Realfooding Shukran 200 g.,Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=552,,
184,"
0,48 €",16 €/kg,Cebolla granulada Carrefour 30 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,,,
185,"
5,99 €","4,28 €/kg",Yogur líquido con fresa y plátano Danone Actimel Kids sin gluten pack de 14 unidades de 100 g.,Sin gluten,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,
186,"
1,62 €","10,80 €/kg",Aceitunas verdes rellenas de anchoa La Española sin gluten 150 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,,
187,"
0,99 €","0,99 €/kg",Yogur desnatado líquido de fresa sin azúcar añadido con edulcorante Carrefour 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,,,
188,"
0,69 €","1,38 €/kg",Macarrones rayados vegetales Carrefour 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,,,
189,"
2,60 €","6,93 €/kg",Cereales integrales con chocolate Chocapic Nestlé 375 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,,
190,"
0,90 €",9 €/kg,Chocolate negro 72% con pepitas de cacao tostadas caramelizadas Carrefour 100 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,,,
191,"
4,59 €","6,12 €/kg",Galletas rellenas de crema de chocolate Maxi Choc Príncipe pack de 3 unidades de 250 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=576,,,,
192,"
2,75 €","43,65 €/kg",Berberechos al natural Cabo de Peñas 63 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,,
193,"
2,83 €","2,83 €/docena",Huevos M camperos Quien es el Jefe 12 ud.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,,
194,"
1,15 €","1,15 €/l",Leche desnatada Pascual sin lactosa brik 1 l.,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,
195,"
2,85 €","7,92 €/kg",Crema de cacao y leche con avellanas Nocilla sin gluten y sin aceite de palma 360 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,
196,"
4,15 €","10,37 €/kg",Nuggets rebozado fino Recetas Crujientes La Cocinera 400 g.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,
197,"
3,29 €","7,31 €/kg",Cereales de maíz tostados y azucarados Frosties Kellogg's 450 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,,
198,"
2,69 €","2,69 €/kg",Lenteja pardina categoría extra De Nuestra Tierra 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,,
199,"
0,60 €",4 €/kg,Aros de chocolate blanco Carrefour 150 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=600,,,,
200,"
1,57 €","17,44 €/kg",Almendras crudas sin cáscara sin sal añadida ecológicas Carrefour Bio 90 g.,Bio,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,
201,"
1,70 €",4 €/kg,Garbanzos con espinacas Litoral 425 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,,
202,"
1,44 €","1,44 €/l",Leche desnatada con calcio Pascual brik 1 l.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,,
203,"
2,95 €","11,80 €/kg",Tortellini de jamón y queso Rana 250 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,,
204,"
0,85 €","0,85 €/l",Bebida de soja con calcio Carrefour sin gluten brik 1 l.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,
205,"
1,30 €","2,60 €/kg",Kéfir natural Carrefour Sensation 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,,
206,"
1,38 €","12,55 €/kg",Espárrago blanco cortos extra Carretilla 110 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,,
207,"
2,14 €","2,23 €/kg","Yogur de fresa, de plátano, de macedonia y de tarta de queso Danone pack de 8 unidades de 120 g.","Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=624,,,,
208,"
2,95 €","5,36 €/kg",Kétchup 50% menos azúcar Heinz envase 550 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,,
209,"
1,99 €","3,98 €/kg",Cereales ecológicos Corn Flakes Carrefour Bio 500 g.,Bio,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,
210,"
2,39 €","4,98 €/kg",Yogur bífidus de fibras con avena y nueces Danone Activia pack de 4 unidades de 120 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,,
211,"
5,99 €","4,28 €/kg",Yogur L.Casei líquido desnatado natural Danone Actimel pack de 14 unidades de 100 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,
212,"
1,61 €","1,61 €/kg",Arroz blanco precocido Carrefour pack de 6 unidades de 167 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,,
213,"
1,40 €","3,50 €/l",Jugo de coco Carrefour 400 ml.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,,
214,"
2,09 €","6,53 €/kg",Yogur de proteínas sabor vainilla Danone Yopro sin gluten pack de 2 unidades de 160 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,
215,"
0,69 €","9,72 €/kg",Pasta oriental noodles sabor pollo Maggi Fusian sin aceite de palma 71 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=648,,,,
216,"
1,15 €","5,75 €/l",Nata para cocinar Central Lechera Asturiana sin gluten sin lactosa 200 ml.,Sin gluten,Sin lactosa,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,
217,"
3,20 €","2,75 €","18,82 €/kg
 | 
16,18 €/kg",Gyoza de carne al vapor Ta-Tung 170 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,
218,"
2,09 €","10,45 €/kg",Anacardos fritos y salados Carrefour 200 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,,,
219,"
2,99 €","5,98 €/kg",Tagliatelle nido Garofalo 500 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,,,
220,"
2,05 €","4,77 €/kg",Alubias a la vasca Litoral 430 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,,
221,"
2,05 €","4,10 €/l",Crema de calabaza con un suave toque de nata Knorr 500 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,,
222,"
1,62 €","2,70 €/kg",Tomate frito Solis pack 3 de 200 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,,,
223,"
2,09 €","4,18 €/l",Salsa Ligeresa envase 500 ml.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=672,,,
224,"
1,82 €","5,52 €/kg",Pizza prosciutto Carrefour 330 g.,Congelado,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696,,,
225,"
1,10 €","3,67 €/kg",Azúcar blanco en azucaritos Azucarera 300 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696,,,,
226,"
2,99 €","4,98 €/kg",Yogur L.Casei líquido natural Danone Actimel pack de 6 unidades de 100 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696,,,,
227,"
6,69 €","6,19 €","3,34 €/l
 | 
3,09 €/l",Caldo natural de verduras Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,Sin gluten,Sin lactosa,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696
228,"
2,29 €","5,72 €/kg",Flan de queso Danone sin gluten pack de 4 unidades de 100 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696,,,
229,"
0,99 €","2,33 €/kg",Espinacas sin sal añadida Carrefour 425 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696,,,,
230,"
5,75 €","23,96 €/kg",Mejillones de las rías gallegas en escabeche Calvo sin gluten y sin lactosa pack de 6 unidades de 40 g.,Sin gluten,Sin lactosa,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696,
231,"
1,06 €","3,21 €/kg",Mostaza original Prima envase 330 g.,Sin gluten,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=696,,
232,"
5,40 €","6,92 €/kg",Crema de cacao con avellanas original Nocilla sin gluten y sin aceite de palma 780 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720,,,
233,"
1,45 €","6,30 €/kg",Guisantes extra finos ecológico Carrefour Bio 230 g.,Bio,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720,,,
234,"
2,69 €","8,41 €/kg",Galletas con pepitas de chocolate Mini Chips Ahoy 320 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720,,,,
235,"
4,55 €","4,29 €","21,98 €/kg
 | 
20,72 €/kg",Mejillones de las rías gallegas en escabeche Calvo sin gluten y sin lactosa pack de 3 unidades de 69 g.,Sin gluten,Sin lactosa,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720
236,"
2,05 €","8,99 €/kg",Mousse de chocolate crujiente Nestlé Gold pack de 4 unidades de 57 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720,,,,
237,"
2,65 €","2,65 €/kg",Arroz bomba para paella categoría extra Carrefour 1 kg.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720,,,,
238,"
2,89 €","10,70 €/kg",Piccolinis 3 quesos Buitoni pack de 3 unidades de 90 g.,Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720,,,
239,"
2,63 €","6,05 €/kg",Pizza barbacoa Casa Tarradellas 440 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=720,,,,
240,"
3,15 €","3,15 €/l","Crema de Alicia de calabaza, zanahoria y guisantes Knorr 1 l.",Ver productos de la promoción,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,
241,"
5,59 €","2,79 €/l",Caldo para paella fácil Gallina Blanca sin gluen pack de 2 briks de 1 l.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,
242,"
0,99 €","3,30 €/kg",Kétchup Orlando Barrilito 300 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,,
243,"
0,90 €",6 €/kg,Patatas fritas sabor Campesina Carrefour 150 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,,
244,"
1,10 €","1,10 €/l",Bebida de almendras sin azúcar añadido Vegye sin gluten brik 1 l.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,
245,"
1,55 €","2,38 €/kg",Mermelada de fresa catgoría extra Carrefour 650 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,,
246,"
2,05 €","12,06 €/kg",Chocolate con leche para repostería Nestlé Postres sin gluten 170 g.,Sin gluten,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,
247,"
1,42 €","3,55 €/kg",Garbanzo castellano cocido De Nuestra Tierra 400 g.,"Añadir
",https://www.carrefour.es/supermercado/la-despensa/cat20001/c?offset=744,,,,
