,producto,precio,precio/kg,none
294,SELECCIÓN DE DIA Tira de costilla de cerdo envasada al vacío (peso aprox. 720 gr),4.28,5.95/Kg,
295,"










					CASTELLO queso para untar blanco con piña envase 125 gr ",2.45,19.60/Kg,
296,REVILLA salchichón tradicional en lonchas sobre 70 gr,1.00,14.29/Kg,
297,"










					ELPOZO fiambre de york sandwich en lonchas sobre 375 gr",2.00,5.33/Kg,
298,Patata especial microondas bolsa 400 gr,1.29,3.23/Kg,
299,"










					ELPOZO mortadela siciliana en lonchas sobre 225 gr",1.25,5.56/Kg,
300,BOFFARD queso de oveja curado reserva cuña 250 g,4.45,17.80/Kg,
301,Cuartos traseros de pollo selección (peso aprox. 1 Kg),4.50,4.50/Kg,
302,"










					SELECCIÓN DE DIA secreto de cerdo (peso aprox. 760 gr)",4.78,6.29/Kg,
303,SELECCIÓN DE DIA chuletas de pavo al ajillo bandeja (peso aprox. 720 gr) ,4.35,6.04/Kg,
304,CAMPOFRÍO mini stick de fuet envase 50 gr,1.39,27.80/Kg,
305,EL VENTERO queso tierno cuña 250 gr,3.65,14.60/Kg,
306,CAMPOFRÍO chopped pork en lonchas sobre 115 gr,1.00,8.70/Kg,
307,REVILLA salami extra en lonchas sobre 70 gr,1.00,14.29/Kg,
308,VALLINA compango asturiano bandeja 250 gr,2.49,9.96/Kg,
309,"










					ELPOZO Bienstar pechuga de pavo en finas lonchas bajo en sal sobre 85 gr",1.00,11.76/Kg,
310,"










					Tomate cherry pera bandeja 250 gr",0.99,3.96/Kg,
311,Tomate cherry redondo línea sabor bandeja 250 gr,0.89,3.56/Kg,
312,Tomate cherry kumato bandeja 250 gr,1.45,4.83/Kg,
313,SELECCIÓN DE DIA filete de salmón (peso aprox. 550 gr),10.01,18.20/Kg,
314,Lomo de cerdo extra al ajillo bandeja 300 gr ,2.25,7.50/Kg,
315,SELECCIÓN DE DIA hamburguesas con ajo y perejil bandeja 360 gr,2.09,5.81/Kg,
316,Surtido vegetal bandeja (1.2 Kg aprox.),1.62,1.35/Kg,
317,Lomo extra adobado bandeja 300 gr,2.49,8.30/Kg,
318,LA CARLOTEÑA pollo asado relleno en lonchas (peso aprox. 100 gr),10.99,10.99/Kg,
319,Chuleta de sajonia bandeja 400 gr,3.79,9.48/Kg,
320,Mango bandeja 2 ud,1.69,2.60/Kg,
321,SELECCIÓN DE DIA filete de cinta de lomo marinado bandeja 300 gr,1.99,6.63/Kg,
