,producto,precio,cantidad,medida
438,Aceitunas gazpacha Hacendado con hueso,2.0,417.5,kg
439,Aceitunas estilo caseras Hacendado partidas alinadas,2.45,517.0,kg
440,Aceitunas manzanilla Hacendado con hueso,1.6,417.5,kg
441,Aceitunas rellenas de limon Hacendado,1.3,52.5,kg
442,Aceitunas manzanilla alinadas Hacendado sin hueso,1.5,84.0,kg
443,Aceitunas chupadedos Huerta de Barros partidas alinadas con hueso,2.8,588.0,kg
444,Aceitunas rellenas con pepinillo Hacendado,1.99,61.2,kg
445,Aceitunas rellenas de jalapeno Hacendado,1.35,52.5,kg
446,Aceitunas alorena Roldan partida con hueso,3.0,27.39,kg
447,Aceitunas Campo Real Guerra con hueso,3.3,3.8,kg
448,Aceitunas rellenas de pimiento asado Hacendado,1.0,52.5,kg
449,Aceitunas rellenas de pimiento Hacendado,1.6,0.15,kg
450,Aceitunas manzanilla sabor anchoa Hacendado con hueso,2.6,495.55,kg
451,Aceitunas manzanilla sabor anchoa Hacendado con hueso,1.0,107.5,kg
452,Aceitunas alinadas Hacendado sin hueso,2.6,334.0,kg
453,Aceitunas gordal Hacendado con hueso,2.3,280.0,kg
454,Aceitunas con salsa mojo picon Iruela sin hueso,3.75,0.485,kg
455,Aceitunas negras Hacendado sin hueso,0.9,52.5,kg
456,Aceitunas negras cacerenas Hacendado a rodajas,1.65,0.15,kg
457,Aceitunas negras Hacendado con hueso,0.8,64.75,kg
458,Aceitunas negras naturales de Aragon Hacendado,1.8,0.25,kg
459,Banderillas picantes Hacendado,0.99,55.2,kg
460,Aperitivo de encurtidos Hacendado,1.3,244.55,kg
461,Banderillas gildas Hacendado pinchos de anchoa,2.0,14.25,kg
462,Banderillas de anchoa y boqueron Hacendado en aceite de girasol,1.9,13.775,kg
463,Coctel Hacendado,1.05,64.75,kg
464,Coctel de encurtidos Hacendado en vinagre,2.15,254.6,kg
465,Pincho de salazones y encurtidos Hacendado,2.3,14.875,kg
466,Coctel Hacendado,1.9,417.5,kg
467,Banderillas dulces Hacendado en vinagre,0.99,55.2,kg
468,Pepinillos pequenos Hacendado,1.45,106.25,kg
469,Altramuces Hacendado,1.2,303.6,kg
470,Alcaparras Hacendado en vinagre,0.95,10.8,kg
471,Pepinillos en vinagre Hacendado,1.4,247.9,kg
472,Pepinillos agridulces Hacendado,1.35,247.9,kg
473,Pepinillos agridulces Hacendado,1.45,106.25,kg
474,Picadillo de variantes Hacendado,1.2,110.5,kg
475,Pepinillos laminados agridulces Hacendado,1.29,153.7,kg
476,Cebollitas Hacendado,0.95,66.5,kg
477,Pepinillos alinados temperados Hacendado,1.2,106.25,kg
478,Ajos alinados Hacendado,1.5,81.075,kg
479,Cebolla grande Hacendado,1.3,247.9,kg
